Metric,GAL value,Troia value
Categories,2,2
Objects in Data Set,1000,1000
Workers in Data Set,83,83
Labels Assigned by Workers,5000,5000
[DS_Pr[1]],0.4124,0.4124
[DS_Pr[0]],0.5876,0.5876
[MV_Pr[1]],0.2894,0.2894
[MV_Pr[0]],0.7106,0.7106
DataCost_Estm_NoVote_Exp,0.5000,0.5000
DataCost_Estm_NoVote_Min,0.5000,0.5000
DataQuality_Eval_DS_Soft,N/A,N/A
DataQuality_Eval_MV_Soft,N/A,N/A
WorkerQuality_Estm_DS_Exp_n,23.57%,23.57%
WorkerQuality_Estm_DS_Exp_w,19.76%,19.76%
WorkerQuality_Estm_DS_ML_n,38.97%,38.97%
WorkerQuality_Estm_DS_ML_w,37.47%,37.47%
WorkerQuality_Estm_DS_Min_n,38.97%,38.97%
WorkerQuality_Estm_DS_Min_w,37.47%,37.47%
WorkerQuality_Eval_DS_Exp_n,N/A,N/A
WorkerQuality_Eval_DS_Exp_w,N/A,N/A
WorkerQuality_Eval_DS_ML_n,N/A,N/A
WorkerQuality_Eval_DS_ML_w,N/A,N/A
WorkerQuality_Eval_DS_Min_n,N/A,N/A
WorkerQuality_Eval_DS_Min_w,N/A,N/A
DataCost_Estm_DS_Exp,0.1576,0.1576
DataCost_Estm_MV_Exp,0.1886,0.1886
DataCost_Estm_DS_ML,0.1062,0.1062
DataCost_Estm_MV_ML,0.1370,0.1370
DataCost_Estm_DS_Min,0.1062,0.1062
DataCost_Estm_MV_Min,0.1370,0.1370
DataCost_Eval_DS_ML,N/A,N/A
DataCost_Eval_MV_ML,N/A,N/A
DataCost_Eval_DS_Min,N/A,N/A
DataCost_Eval_MV_Min,N/A,N/A
DataCost_Eval_DS_Soft,N/A,N/A
DataCost_Eval_MV_Soft,N/A,N/A
DataQuality_Estm_DS_ML,78.77%,78.77%
DataQuality_Estm_MV_ML,72.60%,72.60%
DataQuality_Estm_DS_Exp,68.47%,68.47%
DataQuality_Estm_MV_Exp,62.27%,62.27%
DataQuality_Estm_DS_Min,78.77%,78.77%
DataQuality_Estm_MV_Min,72.60%,72.60%
DataQuality_Eval_DS_ML,N/A,N/A
DataQuality_Eval_MV_ML,N/A,N/A
DataQuality_Eval_DS_Min,N/A,N/A
DataQuality_Eval_MV_Min,N/A,N/A
Labels per worker,60.2410,60.2410
Gold Tests per worker,1.8072,1.8072
